Galaxy,X-ray Traced Accretion Rate,X-ray Traced Accretion Rate Error,OIII Traced Accretion Rate,OIII Traced Accretion Rate Error
Frl1146,8.72E-02,8.72E-03,9.12E-03,1.47E-03
FRL49,5.70E-02,5.70E-03,1.29E+00,1.19E-01
MRK567,,,,
NGC0383,1.31E-05,1.31E-06,1.51E-03,1.39E-04
NGC0404,1.83E-08,1.83E-09,2.57E-05,2.37E-06
NGC0449,4.10E-05,4.10E-06,1.66E-01,1.53E-02
NGC0524,3.98E-07,3.98E-08,1.86E-05,1.72E-06
NGC0612,5.22E-03,5.22E-04,5.63E-03,5.18E-04
NGC0708,1.83E-04,1.83E-05,6.61E-04,6.09E-05
NGC1194,4.77E-04,4.77E-05,5.63E-03,5.18E-04
NGC1387,5.82E-07,5.82E-08,,
NGC1574,,,,
NGC2110,,,1.91E-02,1.76E-03
NGC3169,4.67E-06,4.67E-07,1.51E-03,1.39E-04
NGC3351,5.88E-07,6.10E-08,1.00E-05,3.46E-06
NGC3368,2.03E-06,2.03E-07,3.72E-04,3.42E-05
NGC3607,5.33E-07,2.96E-07,1.59E-03,1.46E-04
NGC3862,5.45E-04,5.45E-05,8.32E-04,7.67E-05
NGC4061,,,,
NGC4261,9.12E-05,1.82E-05,2.09E-03,1.93E-04
NGC4429,1.34E-06,1.34E-07,2.57E-04,2.37E-05
NGC4435,3.12E-07,3.12E-08,5.50E-04,5.06E-05
NGC4438,5.60E-07,5.60E-08,2.57E-03,2.37E-04
NGC4501,4.68E-06,4.68E-07,1.07E-03,9.87E-05
NGC4697,3.39E-07,1.40E-07,,
NGC4826,1.16E-07,2.56E-08,5.63E-04,5.18E-05
NGC5064,,,,
NGC5765b,,,,
NGC5806,,,,
NGC5995,1.40E-01,1.40E-02,,
NGC6753,,,,
NGC6958,,,,
NGC7052,,,1.45E-03,1.33E-04
NGC7172,5.76E-03,5.76E-04,,
PGC043387,,,,