FRL1146 Frequency (Hz),FRL1146 Flux Density (Jy),FRL1146 Uncertainty (Jy),FRL 49 Frequency (Hz),FRL 49 Flux Density (Jy),FRL 49 Uncertainty (Jy),NGC 0383 Frequency (Hz),NGC 0383 Flux Density (Jy),NGC 0383 Uncertainty (Jy),NGC 0449 Frequency (Hz),NGC 0449 Flux Density (Jy),NGC 0449 Uncertainty (Jy),NGC 0524 Frequency (Hz),NGC 0524 Flux Density (Jy),NGC 0524 Uncertainty (Jy),NGC 0612 Frequency (Hz),NGC 0612 Flux Density (Jy),NGC 0612 Uncertainty (Jy),NGC 0708 Frequency (Hz),NGC 0708 Flux Density (Jy),NGC 0708 Uncertainty (Jy) ,NGC 1194 Frequency (Hz),NGC 1194 Flux Density (Jy),NGC 1194 Uncertainty (Jy),NGC 1387 Frequency (Hz),NGC 1387 Flux Density (Jy),NGC 1387 Uncertainty (Jy),NGC 1574 Frequency (Hz),NGC 1574 Flux Density (Jy),NGC 1574 Uncertainty (Jy),NGC 2210 Frequency,NGC 2210 Flux Density (Jy),NGC 2210 Uncertainty (Jy),NGC 3169 Frequency (Hz),NGC 3169 Flux Density (Jy),NGC 3169 Uncertainty (Jy),NGC 3607 Frequency (Hz),NGC 3607 Flux Density (Jy),NGC 3607 Uncertainty (Jy),NGC 4429 Frequency (Hz),NGC 4429 Flux Density (Jy),NGC 4429 Uncertainty (Jy),NGC 4435 Frequency (Hz),NGC 4435 Flux Density (Jy),NGC 4435 Uncertainty (Jy),NGC 4438 Frequency (Hz),NGC 4438 Flux Density (Jy),NGC 4438 Uncertainty (Jy),NGC 4501 Frequency (Hz),NGC 4501 Flux Density (Jy),NGC 4501 Uncertainty (Jy),NGC 4697 Frequency (Hz),NGC 4697 Flux Density (Jy),NGC 4697 Uncertainty (Jy),NGC 5064 Frequency (Hz),NGC 5064 Flux Density (Jy),NGC 5064 Uncertainty (Jy),NGC 5995 Frequency (Hz),NGC 5995 Flux Density (Jy),NGC 5995 Uncertainty (Jy),NGC 6958 Frequency (Hz),NGC 6958 Flux Density (Jy),NGC 6958 Uncertainty (Jy),NGC 7052 Frequency (Hz),NGC 7052 Flux Density (Jy),NGC 7052 Uncertainty (Jy),NGC 7172 Frequency (Hz),NGC 7172 Flux Density (Jy),NGC 7172 Uncertainty (Jy),NGC 0404 Frequency (Hz),NGC 0404 Flux Density (Jy),NGC 0404 Uncertainty (Jy),NGC 4826 Frequency (Hz),NGC 4826 Flux Density (Jy),NGC 4826 Uncertainty (Jy),MRK 567 Frequency (Hz),MRK 567 Flux Density (Jy),MRK 567 Uncertainty (Jy),NGC 3351 Frequency (Hz),NGC 3351 Flux Density (Jy),NGC 3351 Uncertainty (Jy),NGC 3368 Frequency (Hz),NGC 3368 Flux Density (Jy),NGC 3368 Uncertainty (Jy),NGC 5806 Frequency (Hz),NGC 5806 Flux Density (Jy),NGC 5806 Uncertainty (Jy),NGC 6753 Frequency (Hz),NGC 6753 Flux Density (Jy),NGC 6753 Uncertainty (Jy)
1810000000000,1.41,0.09,1760000000000,2.22,0.666,3000000000000,1.68,0.251,1900000000000,4.4,0.6,3000000000000,2.05,0.129,1760000000000,4.27,1.28,99900000000,0.00811,0.00098,1810000000000,0.473,0.025,600000000000,0.25,0.12,3000000000000,0.66,0.072,1810000000000,5.23,0.267,3000000000000,22.1,0.083,1760000000000,2.53,0.759,1760000000000,6.3,0.6,600000000000,0.181,0.041,1760000000000,11.4,1,353000000000,0.962,0.027,600000000000,0.0194,0.0178,1760000000000,10.6,1.6,1810000000000,5.4,0.273,1900000000000,2.7,0.4,3000000000000,1.48,0.118,1430000000,0.0375,0.01,1920000000000,3.5,0.366,353000000000,1.23,0.31,3000000000000,4.93,0.394,600000000000,5.32,0.39,353000000000,0.513,0.023,1760000000000,14.1,2.11,231000000000,0.124,0.0108
4280000000000,1.22,0.068,1810000000000,2.56,0.147,5000000000000,0.435,0.0653,2070000000000,2.9,0.3,5000000000000,0.76,0.034,3000000000000,5.83,0.095,300000000000,0.149,0.00383,4280000000000,0.633,0.034,857000000000,1,0.17,5000000000000,0.36,0.022,3000000000000,5.68,1.36,5000000000000,8.24,0.03,1920000000000,2.22,0.186,1810000000000,5.51,0.593,857000000000,0.679,0.12,1810000000000,15.5,1.09,666000000000,6.39,0.186,857000000000,0.0656,0.0102,3000000000000,9.56,0.574,3000000000000,6.53,0.523,2070000000000,1.8,0.2,5000000000000,0.448,0.0448,231000000000,0.048,0.0077,3000000000000,4.5,0.901,600000000000,5.89,0.51,5000000000000,3.03,0.212,857000000000,13.7,1,666000000000,3.44,0.12,3000000000000,7.88,0.473,3000000000000,27.1,0.196
5000000000000,1.09,0.0978,3000000000000,3.91,0.351,,,,2460000000000,2.4,0.3,,,,5000000000000,1.65,0.047,3000000000000,0.66,0.157,5000000000000,0.77,0.0539,1200000000000,2.59,0.305,,,,4200000000000,4.97,0.422,,,,4200000000000,1.76,0.098,1900000000000,4.2,0.6,1200000000000,1.86,0.16,1900000000000,10.8,1.5,1470000000000,47,0.5,1200000000000,0.22,0.0331,5000000000000,3.31,0.166,4280000000000,4.03,0.202,2460000000000,1.7,0.2,,,,1470000000000,7.6,0.43,4200000000000,2.92,0.202,857000000000,16.62,1.14,,,,1200000000000,32.4,2.3,1920000000000,47.7,7.5,5000000000000,2.69,0.188,5000000000000,9.79,0.048
,,,4280000000000,3.32,0.169,,,,3000000000000,2.92,0.263,,,,,,,4200000000000,0.088,0.01,,,,1810000000000,6.18,0.748,,,,4280000000000,5.14,0.261,,,,,,,2460000000000,5.2,0.5,1760000000000,6.84,2.05,2460000000000,10.1,0.9,1620000000000,52.3,0.4,1470000000000,0.75,0.2,,,,5000000000000,3.65,0.255,3000000000000,2.27,0.06,,,,1620000000000,12.6,0.4,5000000000000,2.26,0.058,1200000000000,40.3,2.36,,,,1870000000000,53.91,5.13,3000000000000,31.6,0.148,,,,,,
,,,5000000000000,3.23,0.161,,,,4760000000000,5.2,0.5,,,,,,,5000000000000,0.2,0.034,,,,2930000000000,5.92,0.717,,,,,,,,,,,,,2930000000000,4.85,1.02,1810000000000,4.48,0.302,2930000000000,12,0.863,1810000000000,105,5.82,1500000000000,0.62,0.12,,,,,,,4760000000000,1.8,0.2,,,,1720000000000,19,3.2,,,,1760000000000,94.1,14.1,,,,1920000000000,67.5,8.28,4200000000000,14.5,1.8,,,,,,
,,,,,,,,,5000000000000,2.53,0.152,,,,,,,,,,,,,3000000000000,6.99,1.69,,,,,,,,,,,,,3000000000000,8.05,1.26,1920000000000,3.02,0.327,3000000000000,11.31,1.11,1860000000000,94.1,0.9,1720000000000,0.85,0.25,,,,,,,5000000000000,1.06,0.034,,,,1760000000000,15.3,2.3,,,,1870000000000,95.35,7.75,,,,3000000000000,52.81,7.2,5000000000000,10.7,0.072,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5000000000000,2.31,0.028,,,,,,,,,,,,,5000000000000,0.87,0.04,2930000000000,4.72,0.304,3630000000000,8.01,0.1,2520000000000,116,0.3,1760000000000,0.88,0.12,,,,,,,,,,,,,1810000000000,12.7,0.641,,,,1920000000000,98.8,12.7,,,,4200000000000,24.2,1.87,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1880000000000,7.59,1.23,,,,,,,,,,,,,1880000000000,5.05,1.24,3000000000000,4.96,0.49,4760000000000,3.6,0.4,2930000000000,74.1,5.57,1810000000000,0.849,0.132,,,,,,,,,,,,,1860000000000,13.1,1.16,,,,3000000000000,96.28,7.78,,,,4280000000000,25.3,1.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000000000,2.36,0.79,4200000000000,2.21,0.186,5000000000000,3.87,0.03,3000000000000,75.36,6.91,1920000000000,0.83,0.068,,,,,,,,,,,,,2520000000000,32,9.2,,,,3630000000000,57.3,5,,,,5000000000000,19.7,0.062,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857000000000,1.02,0.45,5000000000000,1.99,0.043,1880000000000,14.79,1.21,3150000000000,35,0.4,2930000000000,1.38,0.131,,,,,,,,,,,,,3000000000000,12.4,0.085,,,,4200000000000,55.2,5,,,,4290000000000,31.35,6.51,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600000000000,0.23,0.25,1880000000000,4.33,0.49,1200000000000,7.87,0.486,4930000000000,18,0.2,3000000000000,1.24,0.076,,,,,,,,,,,,,4280000000000,7.4,0.93,,,,4280000000000,61.43,4.92,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857000000000,3.41,0.24,5000000000000,17.6,0.076,3150000000000,1.45,0.35,,,,,,,,,,,,,5000000000000,5.76,0.025,,,,5000000000000,36.7,0.077,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600000000000,1.14,0.101,1880000000000,103.12,8.47,3330000000000,0.82,0.08,,,,,,,,,,,,,1200000000000,6.55,0.385,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000000000,56.94,3.28,4200000000000,0.618,0.055,,,,,,,,,,,,,857000000000,2.62,0.169,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886000000000,24.11,1.49,4930000000000,1.15,0.35,,,,,,,,,,,,,600000000000,0.9,0.162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600000000000,8.44,0.63,5000000000000,0.48,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
