NGC 1387 Frequency (Hz),NGC 1387 Flux Density (Jy),NGC 1387 Uncertainty (Jy),NGC 3351 Frequency (Hz),NGC 3351 Flux Density (Jy),NGC 3351 Uncertainty (Jy),NGC 3368 Frequency (Hz),NGC 3368 Flux Density (Jy),NGC 3368 Uncertainty (Jy),NGC 4429 Frequency (Hz),NGC 4429 Flux Density (Jy),NGC 4429 Uncertainty (Jy),NGC 4435 Frequency (Hz),NGC 4435 Flux Density (Jy),NGC 4435 Uncertainty (Jy),NGC 4438 Frequency (Hz),NGC 4438 Flux Density (Jy),NGC 4438 Uncertainty (Jy),NGC 4501 Frequency (Hz),NGC 4501 Flux Density (Jy),NGC 4501 Uncertainty (Jy),NGC 4697 Frequency (Hz),NGC 4697 Flux Density (Jy),NGC 4697 Uncertainty (Jy),NGC 4826 Frequency (Hz),NGC 4826 Flux Density (Jy),NGC 4826 Uncertainty (Jy),NGC 7172 Frequency (Hz),NGC 7172 Flux Density (Jy),NGC 7172 Uncertainty (Jy)
6.00E+11,0.25,0.12,6.00E+11,5.32,0.39,3.53E+11,0.513,0.023,6.00E+11,0.23,0.25,6.00E+11,0.181,0.041,6.00E+11,1.14,0.101,3.53E+11,0.962,0.027,6.00E+11,0.0194,0.0178,3.53E+11,1.23,0.31,2.31E+11,0.048,0.0077
8.57E+11,1,0.17,8.57E+11,13.7,1,6.66E+11,3.44,0.12,8.57E+11,1.02,0.45,8.57E+11,0.679,0.12,8.57E+11,3.41,0.24,6.00E+11,8.44,0.63,8.57E+11,0.0656,0.0102,6.00E+11,5.89,0.51,6.00E+11,0.9,0.162
1.20E+12,2.59,0.305,1.20E+12,32.4,2.3,1.92E+12,47.7,7.5,1.20E+12,2.36,0.79,1.20E+12,1.86,0.16,1.20E+12,7.87,0.486,6.66E+11,6.39,0.186,1.20E+12,0.22,0.0331,8.57E+11,16.62,1.14,8.57E+11,2.62,0.169
1.81E+12,6.18,0.748,1.87E+12,53.91,5.13,,,,1.76E+12,6.3,0.6,1.76E+12,6.84,2.05,1.76E+12,11.4,1,8.86E+11,24.11,1.49,1.47E+12,0.75,0.2,1.20E+12,40.3,2.36,1.20E+12,6.55,0.385
1.88E+12,7.59,1.23,1.92E+12,67.5,8.28,,,,1.81E+12,5.51,0.593,1.81E+12,4.48,0.302,1.81E+12,15.5,1.09,1.20E+12,56.94,3.28,1.50E+12,0.62,0.12,1.76E+12,94.1,14.1,1.47E+12,7.6,0.43
,,,,,,,,,1.88E+12,5.05,1.24,1.88E+12,4.33,0.49,1.88E+12,14.79,1.21,1.47E+12,47,0.5,1.72E+12,0.85,0.25,1.87E+12,95.35,7.75,1.62E+12,12.6,0.4
,,,,,,,,,1.90E+12,4.2,0.6,1.92E+12,3.02,0.327,1.90E+12,10.8,1.5,1.62E+12,52.3,0.4,1.76E+12,0.88,0.12,1.92E+12,98.8,12.7,1.72E+12,19,3.2
,,,,,,,,,2.46E+12,5.2,0.5,2.93E+12,4.72,0.304,,,,1.81E+12,105,5.82,1.81E+12,0.849,0.132,,,,1.76E+12,15.3,2.3
,,,,,,,,,2.93E+12,4.85,1.02,3.00E+12,4.96,0.49,,,,1.86E+12,94.1,0.9,1.92E+12,0.83,0.068,,,,1.81E+12,12.7,0.641
,,,,,,,,,3.00E+12,8.05,1.26,,,,,,,1.88E+12,103.12,8.47,2.93E+12,1.38,0.131,,,,1.86E+12,13.1,1.16
,,,,,,,,,,,,,,,,,,2.52E+12,116,0.3,3.00E+12,1.24,0.076,,,,2.52E+12,32,9.2
,,,,,,,,,,,,,,,,,,,,,3.15E+12,1.45,0.35,,,,,,