Galaxy,X-ray Flux Density (Jy),X-ray Flux Density Uncertainty (Jy),Radio Flux (Jy),Radio Flux Uncertainty (Jy),1mm flux density (Jy),RMS,1mm frequency (GHz),Mass 100pc,Mass 100pc Error,Mass 75pc,Mass 75pc Error,Mass 50pc,Mass 50pc Error,Bolometric Luminosity (erg/s),Bolometric Luminosity Uncertainty (erg/s),Accretion rate (M_solar/yr),Accretion Rate Error,LSB Flux Density,LSB Frequency (GHz),LSB RMS,USB Flux Density,USB Frequency (Hz),USB RMS,Spectral Index,Spectral Index Error,Dominant
Frl1146,7.93E-08,7.93E-08,NaN,NaN,0.00047,3.02E-05,232,NaN,NaN,NaN,NaN,NaN,NaN,5.81E+044,5.81E+043,0.0872,0.00872,0.00044,224,3.1E-05,0.00043,239,3E-05,-0.35,0.008,Synch
FRL49,1.54E-07,1.54E-07,0.074,0.0074,0.00093,3.82E-05,235,7.89,0.04,NaN,NaN,NaN,NaN,3.8E+044,3.8E+043,0.057,0.0057,0.00098,227,3.88E-05,0.0009,242,4.26E-05,-1.33,0.006,Synch
MRK567,NaN,NaN,0.0227,0.0024,0.000107,3.55E-05,233,8.56,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Thermal
NGC0383,1.65E-10,1.65E-10,4.86,0.486,0.063,0.000153,235,7.75,0.04,7.51,0.04,7.12,0.04,8.73E+040,8.73E+039,1.31E-05,1.31E-06,0.051,229,0.000766,0.052,243,0.000724,0.33,0.004,Thermal
NGC0404,7.89E-11,7.89E-11,0.0036,0.00047,0.00038,1.22E-05,237,6.11,0.04,6.11,0.04,6.08,0.04,1.22E+038,1.22E+037,1.83E-08,1.83E-09,7.7E-05,230,2.93E-05,0.000115,245,2.48E-05,NaN,NaN,Thermal
NGC0449,5.59E-10,5.59E-10,0.0759,0.0079,0.000603,2.45E-05,236,NaN,NaN,NaN,NaN,NaN,NaN,2.73E+041,2.73E+040,4.1E-05,4.1E-06,0.00056,228,2.72E-05,0.00062,243,2.73E-05,1.6,0.007,Thermal
NGC0524,3.45E-11,3.45E-11,0.0031,0.00051,0.0057,2.4E-05,238,6.95,0.04,6.77,0.04,6.48,0.04,2.65E+039,2.65E+038,3.98E-07,3.98E-08,0.0058,230,3.11E-05,0.0057,245,2.98E-05,-0.27,0.002,Synch
NGC0612,1.03E-08,1.03E-08,5.14,0.518,0.025,5.87E-05,233,NaN,NaN,NaN,NaN,NaN,NaN,3.48E+043,3.48E+042,0.00522,0.000522,0.024,224,0.00012,0.023,239,0.000124,-0.66,0.002,Synch
NGC0708,2.53E-09,2.53E-09,0.0657,0.00657,0.00132,1.68E-05,236,7.68,0.04,7.49,0.04,7.15,0.04,1.22E+042,1.22E+041,0.000183,1.83E-05,0.00171,228,1.89E-05,0.00153,243,1.81E-05,-1.75,0.003,Synch
NGC1194,6.97E-09,6.97E-09,0.0025,0.00025,0.00157,2.9E-05,229,7.15,0.04,6.98,0.04,NaN,NaN,3.18E+042,3.18E+041,0.000477,4.77E-05,0.00154,227,2.44E-05,0.00158,230,2.3E-05,1.95,0.004,Thermal
NGC1387,7.64E-11,7.64E-11,0.004,0.00064,0.00104,5.3E-05,238,7.06,0.04,6.81,0.04,6.44,0.04,3.88E+039,3.88E+038,5.82E-07,5.82E-08,0.001218,231,5.59E-05,0.001216,246,6.35E-05,-0.02,0.007,Synch
NGC1574,NaN,NaN,NaN,NaN,0.00332,3.48E-05,238,6.76,0.04,6.67,0.04,6.41,0.04,NaN,NaN,NaN,NaN,0.0035,232,7.05E-05,0.0036,246,6.3E-05,0.48,0.004,Thermal
NGC2110,1.72E-07,1.72E-07,0.3,0.032,0.0214,0.000436,238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0234,231,0.000316,0.0227,245,0.000306,-0.52,0.004,Synch
NGC3169,7.65E-10,7.65E-10,0.0932,0.00932,0.00342,8.18E-05,239,7.81,0.04,7.61,0.04,NaN,NaN,3.11E+040,3.11E+039,4.67E-06,4.67E-07,0.0032,232,0.00015,0.00308,247,0.000137,-0.61,0.007,Synch
NGC3351,3.25E-10,3.25E-10,0.0425,0.00425,0.000453,0.000151,340,NaN,NaN,NaN,NaN,NaN,NaN,3.92E+039,4.07E+038,5.88E-07,6.1E-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Synch
NGC3368,9.66E-10,9.66E-10,0.0281,0.00281,0.000564,0.000188,230,7.88,0.04,7.69,0.04,7.43,0.04,1.35E+040,1.35E+039,2.03E-06,2.03E-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Thermal
NGC3607,3.45E-10,3.45E-10,0.0069,0.0008,0.00269,0.000133,239,7.52,0.04,7.35,0.04,NaN,NaN,3.55E+039,1.97E+039,5.33E-07,2.96E-07,0.0027,232,0.000127,0.0026,247,0.000109,-0.6,0.007,Synch
NGC3862,2.64E-09,2.64E-09,5.7,0.57,0.0635,0.00106,234,NaN,NaN,NaN,NaN,NaN,NaN,3.63E+042,3.63E+041,0.000545,5.45E-05,0.0481,227,7.85E-05,0.0446,242,7.94E-05,-1.18,0.001,Synch
NGC4061,NaN,NaN,0.386,0.0386,0.00241,0.000131,234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00079,226,1.91E-05,0.00067,242,1.75E-05,-2.41,0.005,Synch
NGC4261,8.9E-09,8.9E-09,22,2.42,0.217,0.00155,237,NaN,NaN,NaN,NaN,NaN,NaN,6.08E+041,1.21E+041,9.12E-05,1.82E-05,0.22,229,0.000489,0.21,245,0.000484,-0.69,0.002,Synch
NGC4429,2.79E-10,2.79E-10,0.0001,0.0005,0.00111,5.89E-05,339,6.28,0.04,6.02,0.04,5.52,0.04,8.96E+039,8.96E+038,1.34E-06,1.34E-07,0.0011,334,4.16E-05,0.00109,345,5.44E-05,-0.28,0.006,Synch
NGC4435,5.86E-11,5.86E-11,0.004,0.004,0.000731,2.6E-05,239,7.26,0.04,7.06,0.04,6.79,0.04,2.08E+039,2.08E+038,3.12E-07,3.12E-08,0.00061,230,1.9E-05,0.00066,246,1.55E-05,1.17,0.005,Thermal
NGC4438,2.21E-10,2.21E-10,0.0633,0.00633,0.000524,9.64E-05,239,7.79,0.04,7.58,0.04,7.25,0.04,3.73E+039,3.73E+038,5.6E-07,5.6E-08,0.00055,232,0.000119,0.00048,247,0.000112,-2.17,0.015,Synch
NGC4501,8.28E-10,8.28E-10,0.277,0.0277,0.00144,7.89E-05,237,7.73,0.04,7.54,0.04,7.24,0.04,3.12E+040,3.12E+039,4.68E-06,4.68E-07,0.0012,231,0.000143,0.0013,245,0.000143,1.36,0.011,Thermal
NGC4697,4.83E-10,4.83E-10,0.0006,0.0005,0.000481,4.75E-05,239,6,0.04,5.89,0.04,5.68,0.04,2.26E+039,9.33E+038,3.39E-07,1.4E-07,0.000416,232,6.03E-05,0.000364,247,5.27E-05,-2.13,0.012,Synch
NGC4826,2.19E-10,2.19E-10,0.103,0.01,0.000375,7.38E-05,340,NaN,NaN,NaN,NaN,NaN,NaN,7.73E+038,1.72E+038,1.16E-07,2.56E-08,0.00015,334,7.19E-05,0.00052,346,8.63E-05,NaN,NaN,Synch
NGC5064,NaN,NaN,0.152,0.015,0.000279,2.59E-05,238,7.69,0.04,7.43,0.04,7.11,0.04,NaN,NaN,NaN,NaN,0.00027,230,3.97E-05,0.00029,245,3.47E-05,1.13,0.012,Thermal
NGC5765b,NaN,NaN,0.0232,0.00232,0.000328,6.79E-05,226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000342,225,3.19E-05,0.000307,227,3.08E-05,NaN,NaN,Thermal
NGC5806,NaN,NaN,0.0153,0.00153,0.000143,4.78E-05,238,7.17,0.04,7.03,0.04,6.78,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Thermal
NGC5995,1.86E-07,1.86E-07,0.0307,0.0033,0.000994,3.27E-05,234,NaN,NaN,NaN,NaN,NaN,NaN,9.35E+044,9.35E+043,0.14,0.014,0.0010524,226,3.59E-05,0.000953,241,3.78E-05,-1.54,0.006,Synch
NGC6753,NaN,NaN,0.171,0.0186,0.000136,4.53E-05,238,8.18,0.04,7.96,0.04,7.64,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Synch
NGC6958,NaN,NaN,0.015,0.0018,0.011,6.68E-05,237,7.18,0.04,6.97,0.04,6.62,0.04,NaN,NaN,NaN,NaN,0.0111,229,7.3E-05,0.0114,245,7.9E-05,0.39,0.003,Thermal
NGC7052,NaN,NaN,0.208,0.021,0.0178,8.21E-05,238,7.41,0.04,7.19,0.04,6.81,0.04,NaN,NaN,NaN,NaN,0.02633,228,0.000216,0.02613,244,0.000208,-0.11,0.003,Synch
NGC7172,1.45E-07,1.45E-07,0.0376,0.004,0.00842,0.000347,237,NaN,NaN,NaN,NaN,NaN,NaN,3.84E+043,3.84E+042,0.00576,0.000576,0.00315,230,9.53E-05,0.00299,245,8.71E-05,-0.83,0.006,Synch
PGC043387,NaN,NaN,NaN,NaN,0.000309,0.000103,234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Unknown
