FRL 49 Frequency (Hz),FRL 49 Flux Density (Jy),FRL 49 Uncertainty (Jy),NGC 0383 Frequency (Hz),NGC 0383 Flux Density (Jy),NGC 0383 Uncertainty (Jy),NGC 0449 Frequency (Hz),NGC 0449 Flux Density (Jy),NGC 0449 Uncertainty (Jy),NGC 0524 Frequency (Hz),NGC 0524 Flux Density (Jy),NGC 0524 Uncertainty (Jy),NGC 0612 Frequency (Hz),NGC 0612 Flux Density (Jy),NGC 0612 Uncertainty (Jy),NGC 0708 Frequency (Hz),NGC 0708 Flux Density (Jy),NGC 0708 Uncertainty (Jy) ,NGC 1194 Frequency (Hz),NGC 1194 Flux Density (Jy),NGC 1194 Uncertainty (Jy),NGC 1387 Frequency (Hz),NGC 1387 Flux Density (Jy),NGC 1387 Uncertainty (Jy),NGC 2210 Frequency,NGC 2210 Flux Density (Jy),NGC 2210 Uncertainty (Jy),NGC 3169 Frequency (Hz),NGC 3169 Flux Density (Jy),NGC 3169 Uncertainty (Jy),NGC 3607 Frequency (Hz),NGC 3607 Flux Density (Jy),NGC 3607 Uncertainty (Jy),NGC 3862 Frequency (Hz),NGC 3862 Flux Density (Jy),NGC 3862 Uncertainty (Jy),NGC 4061 Frequency (Hz),NGC 4061 Flux Density (Jy),NGC 4061 Uncertainty (Jy),NGC 4261 Frequency (Hz),NGC 4261 Flux Density (Jy),NGC 4261 Uncertainty (Jy),NGC 4438 Frequency (Hz),NGC 4438 Flux Density (Jy),NGC 4438 Uncertainty (Jy),NGC 4501 Frequency (Hz),NGC 4501 Flux Density (Jy),NGC 4501 Uncertainty (Jy),NGC 4697 Frequency (Hz),NGC 4697 Flux Density (Jy),NGC 4697 Uncertainty (Jy),NGC 6958 Frequency (Hz),NGC 6958 Flux Density (Jy),NGC 6958 Uncertainty (Jy),NGC 7052 Frequency (Hz),NGC 7052 Flux Density (Jy),NGC 7052 Uncertainty (Jy),NGC 7172 Frequency (Hz),NGC 7172 Flux Density (Jy),NGC 7172 Uncertainty (Jy),NGC 4826 Frequency (Hz),NGC 4826 Flux Density (Jy),NGC 4826 Uncertainty (Jy),MRK 567 Frequency (Hz),MRK 567 Flux Density (Jy),MRK 567 Uncertainty (Jy),NGC 3351 Frequency (Hz),NGC 3351 Flux Density (Jy),NGC 3351 Uncertainty (Jy),NGC 3368 Frequency (Hz),NGC 3368 Flux Density (Jy),NGC 3368 Uncertainty (Jy),NGC 5806 Frequency (Hz),NGC 5806 Flux Density (Jy),NGC 5806 Uncertainty (Jy),NGC 6753 Frequency (Hz),NGC 6753 Flux Density (Jy),NGC 6753 Uncertainty (Jy),NGC 4435 Frequency (Hz),NGC 4435 Flux Density (Jy),NGC 4435 Uncertainty (Jy),NGC 5995 Frequency (Hz),NGC 5995 Flux Density (Jy),NGC 5995 Uncertainty (Jy),NGC 5064 Frequency (Hz),NGC 5064 Flux Density (Jy),NGC 5064 Uncertainty (Jy),NGC 4429 Frequency (Hz),NGC 4429 Flux Density (Jy),NGC 4429 Uncertainty (Jy)
843000000,0.27,0.008,10000000,144,48,1400000000,0.0759,0.0023,1400000000,0.0031,0.0004,80000000,58,8,73800000,1.06,0.14,1400000000,0.0025,0.001,843000000,0.0113,0.0015,73800000,1.65,0.19,1400000000,0.0892,0.0034,1400000000,0.0069,0.0004,10000000,756,150,1400000000,0.399,0.007,20000000,290,60.9,617000000,0.311,0.001,750000000,0.4,0.1,1400000000,0.0006,0.0005,843000000,0.015,0.0012,408000000,0.321,0.07,843000000,0.0456,0.0017,151000000,0.31,0.0637,1400000000,0.0227,0.0008,57500000,1.2,0.4,750000000,0.3,0.01,1400000000,0.0153,0.01,843000000,0.171,0.0074,2380000000,0.004,0.004,1400000000,0.0307,0.0013,843000000,0.0152,0.0016,1400000000,0.0001,0.0005
1400000000,0.074,0.01,22200000,86.3,25,2700000000,0.051,0.003,2380000000,0.01,0.005,160000000,24,3.1,74000000,0.84,0.062,5000000000,0.0015,0.001,1400000000,0.004,0.0005,365000000,0.697,0.041,2380000000,0.055,0.004,2380000000,0.006,0.004,12600000,1440,590,2380000000,0.125,0.006,22300000,202,14,1400000000,0.0642,0.0027,1400000000,0.277,0.09,8500000000,9.2E-05,1.7E-05,1400000000,0.015,0.001,1400000000,0.16,0.01,1340000000,0.0386,0.001,1360000000,0.072,0.004,4760000000,0.017,0.006,750000000,0.7,0.1,1400000000,0.0316,0.0033,2380000000,0.002,0.004,4850000000,0.035,0.008,,,,,,,,,,,,
4850000000,0.066,0.008,22300000,86,13,4760000000,0.022,0.004,4860000000,0.0015,0.01,408000000,11.4,2.71,152000000,0.78,0.072,,,,5000000000,0.0065,0.0017,1400000000,0.299,0.009,4850000000,0.042,0.011,15000000000,0.0014,0.01,14700000,530,117,,,,25000000,220,59,1490000000,0.087,0.001,NaN,NaN,NaN,,,,5000000000,0.0094,0.0007,2380000000,0.158,0.008,1400000000,0.0376,0.0015,1370000000,0.11,0.01,,,,1400000000,0.0289,0.01,2380000000,0.024,0.004,,,,5010000000,0.035,0.01,,,,,,,,,,,,
,,,26300000,65,7,4850000000,0.032,0.006,4900000000,0.0015,0.01,843000000,12.3,0.226,235000000,0.392,0.02,,,,,,,1460000000,0.27,0.015,4900000000,0.0066,0.01,,,,16700000,380,65,,,,26300000,162,21,2380000000,0.109,0.006,2380000000,0.157,0.007,,,,,,,4830000000,0.082,0.001,,,,1400000000,0.126,0.002,,,,2380000000,0.052,0.004,,,,,,,,,,,,,,,,,,,,,
,,,38000000,58.8,5.3,8100000000,0.021,0.003,5000000000,0.0015,0.01,1400000000,5.14,0.068,325000000,0.263,1,,,,,,,4850000000,0.165,0.014,5000000000,0.00296,0.01,,,,20000000,209,21,,,,38000000,122,18.3,4780000000,0.1,0.001,4800000000,0.115,0.1,,,,,,,4850000000,0.125,0.017,,,,2380000000,0.067,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,80000000,21,3,,,,15000000000,0.0015,0.01,1410000000,5.6,0.96,328000000,0.288,0.004,,,,,,,4880000000,0.175,0.0085,8400000000,0.0089,0.0005,,,,22200000,293,33.3,,,,60000000,89,5,4850000000,0.0868,0.0065,4850000000,0.102,0.0081,,,,,,,8400000000,0.044,0.001,,,,4850000000,0.056,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,86000000,34,1.6,,,,,,,2700000000,5.6,0.18,365000000,0.333,0.037,,,,,,,6700000000,0.13,0.0195,15000000000,0.0068,0.0001,,,,22300000,293,23,,,,80000000,100,15,4860000000,0.012,0.01,5000000000,0.074,0.017,,,,,,,99900000000,0.0855,0.0121,,,,5000000000,0.058,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,160000000,21,3.1,,,,,,,8400000000,0.25,0.01,408000000,0.364,0.066,,,,,,,8400000000,0.102,0.0051,95700000000,0.0081,0.004,,,,25000000,212,21,,,,160000000,55.6,7.2,5000000000,0.08,0.016,5010000000,0.098,0.01,,,,,,,300000000000,0.0188,0.00149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,178000000,18,0.9,,,,,,,18000000000,0.03,0.01,613000000,0.198,1,,,,,,,15000000000,0.0575,0.0037,,,,,,,26300000,141,10,,,,178000000,53.3,5.3,5010000000,0.077,0.01,8600000000,0.052,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,318000000,10.9,0.44,,,,,,,18500000000,0.054,0.003,1370000000,0.092,0.002,,,,,,,,,,,,,,,,38000000,113,11.3,,,,365000000,2.84,0.078,8460000000,0.0078,0.01,10500000000,0.0535,0.0051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,365000000,1.58,0.092,,,,,,,19900000000,0.44,0.01,1400000000,0.0674,0.0024,,,,,,,,,,,,,,,,60000000,76,6,,,,408000000,36.5,6.48,8600000000,0.049,0.004,10600000000,0.048,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,408000000,8.26,0.68,,,,,,,22000000000,0.068,0.007,4540000000,0.027,1,,,,,,,,,,,,,,,,73800000,35.5,3.55,,,,635000000,32,0.43,10600000000,0.044,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,750000000,8.63,0.16,,,,,,,,,,4850000000,0.032,0.004,,,,,,,,,,,,,,,,80000000,43,6,,,,750000000,26,1.3,14900000000,0.0089,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1400000000,4.8,0.24,,,,,,,,,,4860000000,0.0224,0.00109,,,,,,,,,,,,,,,,86000000,61,4.2,,,,960000000,24.6,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2380000000,1.52,0.076,,,,,,,,,,5000000000,0.0032,0.000192,,,,,,,,,,,,,,,,160000000,22.2,2.9,,,,1400000000,10.4,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2700000000,3.53,0.05,,,,,,,,,,8460000000,0.0108,0.00047,,,,,,,,,,,,,,,,178000000,28.3,1.42,,,,1410000000,19.5,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4830000000,0.714,0.01,,,,,,,,,,22500000000,0.00564,0.00088,,,,,,,,,,,,,,,,318000000,18.1,0.68,,,,2380000000,10.9,0.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4850000000,1.12,0.144,,,,,,,,,,43300000000,0.0054,0.00064,,,,,,,,,,,,,,,,365000000,2.62,0.066,,,,2700000000,12.9,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5000000000,2.09,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,408000000,17,3.55,,,,4850000000,4.93,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6630000000,2.1,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,635000000,12,0.32,,,,4900000000,0.39,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8400000000,0.098,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,750000000,9.62,0.257,,,,5000000000,8.32,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10600000000,1.21,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400000000,3.51,0.119,,,,5010000000,9.31,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10700000000,1.09,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410000000,5.8,0.15,,,,6700000000,1.01,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,99900000000,0.0791,0.00113,,,,,,,,,,,,,,,,,,,,,,,,,,,,1660000000,0.209,0.1,,,,8000000000,6.23,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,300000000000,0.0744,0.00278,,,,,,,,,,,,,,,,,,,,,,,,,,,,2380000000,3.08,0.124,,,,8400000000,0.429,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700000000,3.27,0.051,,,,10700000000,5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4830000000,1.98,0.1,,,,23000000000,2.8,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4850000000,1.67,0.251,,,,31400000000,4.06,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4860000000,0.724,0.00955,,,,33000000000,2.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000000,1.99,0.1,,,,41000000000,2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5010000000,2.01,0.06,,,,61000000000,1.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000000,1.54,0.0323,,,,86200000000,0.32,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8400000000,0.187,0.01,,,,94000000000,1.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8460000000,0.432,0.00422,,,,99900000000,0.326,0.00082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10700000000,1.01,0.028,,,,300000000000,0.205,0.00157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15300000000,0.142,0.01,,,,353000000000,0.18,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22500000000,0.216,0.0027,,,,600000000000,0.217,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43300000000,0.172,0.0023,,,,857000000000,0.309,0.0569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99900000000,0.175,0.0005,,,,1200000000000,0.237,0.0359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000000000,0.0874,0.00113,,,,1500000000000,0.21,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1760000000000,0.39,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920000000000,0.375,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000000000,0.35,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000000000,0.21,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3330000000000,0.16,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200000000000,0.127,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000000000,0.05,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
