Galaxy,X-ray flux density(Jy),X-ray Flux Uncertainty (Jy),X-ray Luminosity (L_solar),Adjusted X-ray Flux (Jy),Adjusted X-ray Flux Uncertainty,Adjusted X-ray Luminosity (W),Adjusted X-ray Luminosity (Lsolar),Radio Flux (Jy),Radio Flux NED Uncertainty (Jy),Radio Flux Uncertainty (Jy),Radio Luminosity (L_solar),AGN Class,Radio Jet,Detection,1mm flux density (Jy),RMS,1mm frequency (Hz),mm,X-ray survey,X-ray Telescope,Bi Sample,X-ray Good,Radio Survey,Mass 100pc,Mass 100pc Error,Mass 75pc,Mass 75pc Error,Mass 50pc,Mass 50pc Error,Mass 25pc,Mass 25pc Error,Bolometric Luminosity (L_solar),Bolometric Luminosity (erg/s),Accretion rate (M_solar/yr),Accretion Rate Error,Mass beam width,Dust Mass,Total Mass,Resolved,Stellar Mass (Log),LSB Flux Density,LSB Frequency (Hz),LSB RMS,USB Flux Density,USB Frequency (Hz),USB RMS,Distance (Mpc),Spectral Index,Spectral Index Error,New Index Error,Star Formation Rate (free-free)?,Beam Width,Emission mech,Total Dust Mass,Nuclear dust mass,Nuclear Dust Mass Max,Nuclear Dust Mass Min,Dominant,LL Dust Mass,X-ray Luminosity (ergs/s),X-ray Luminosity Uncertainty (ergs/s),Log OIII Lum (erg/s),Log OIII Error,OIII Accretion rate,Hubble Type,Hubble Type Uncertainty,Radio Galaxy Class,LERG,mm RMS (Jy),LSB RMS (Jy),USB RMS (Jy),OIII Lbol,Radio Luminosity Error (L_solar),Radio Luminosity (erg/s),Kband Mag,Kband Mag Error,Mass 200pc,Total Radio Flux SFR,100pc CO Intensity (Jy km/s),75pc CO Intensity (Jy km/s),50pc CO Intensity (Jy km/s),Total Mass Error,Tim SFR Log,Tim SFR Error,Source,Galaxy Type,Mass 200pc Error,Radio Luminosity (SFR),OIII Accretion rate error,100pc CO Int Error,75pc CO Int Error,50pc CO Int Error,Excess Radio Log,Excess Radio Log Error,Excess Radio (erg/s),Total Size (as),X-ray Emission Survey/X-ray Image Source/Resolved,mm Luminosity (erg/s),mm Luminosity Uncertainty (erg/s),log M_BH,200pc CO Intensity (Jy km/s),200pc CO Int Error,log10 Surface Density 200pc,log10 Surface Density 50pc,Surface Density Ratio,log10 Surface Density 200pc error,log10 Surface Density 50pc error,Jet Power,log Hbeta (erg/s),OII/Hbeta ratio,Sigma Star (km/s),Eddington Fraction,Log Edd Frac,OIII Lum err (erg/s),OIII Luminosity (erg/s),Radio Luminosity Error (erg/s),Total Mass New,OIII Lbol error
Frl1146,7.93e-07,7.93e-08,6720000000.0,7.93e-07,7.93e-08,,6720000000.0,,,,,Seyfert,Yes,Yes,0.00047,2.72e-05,232000000000.0,Yes,X-ray 2-10 keV (XMM),XMM,No,Yes,No survey,,,,,,,,,151000000000.0,5.8e+44,0.087,0.0087,,7440000.0,,No,11.32,0.00044,224000000000.0,3.06e-05,0.00043,239000000000.0,2.98e-05,136.7,-0.36,1.51,1.51,,0.0,Mix,72000000.0,71000.0,1480000.0,85.0,Synch,10000.0,2.58e+43,2.58e+42,40.24,0.07,0.009123454350934264,4.7,2.6,HERG,N,8.18e-07,8.69e-07,9.83e-07,6.082302900622842e+43,,0.0,10.996,0.008,,,,,,,,,Me,Spiral,,1.59e+38,0.001470792075914113,,,,,,,0.0,XMM/NA/NA,2.44e+39,1.41e+38,,,,,,,,,,40.68,0.3630780547701032,,0.006816054,-2.166466978,2.8015087160268816e+39,1.7378008287493835e+40,,,9.805280506094085e+42
FRL49,1.54e-06,1.54e-07,4810000000.0,1.54e-06,1.54e-07,,4810000000.0,0.074,0.0,0.0074,236763.0,Seyfert 2,No,Yes,0.00093,3.8e-05,235000000000.0,Yes,X-ray 2-10 keV (Chandra),Chandra,No,Yes,Radio 1.4GHz,73861179.0,7386122.0,,,,,,,98741476478.0,3.8e+44,0.057,0.0057,43546597.0,5510000.0,3282254515.0,No,10.3,0.00098,227000000000.0,3.9e-05,0.0009,242000000000.0,4.04e-05,85.7,-1.32,0.94,1.06,6.49,77.15,Radio,35000000.0,2500000.0,3310000.0,1260000.0,Synch,2400000.0,1.85e+43,1.85e+42,42.39,0.04,1.2887221807346427,-3.0,2.0,,N,5.91e-07,7.47e-07,8.99e-07,8.591481204897618e+45,23676.3,9.06e+38,9.797,0.01,239428109.0,0.002547609,2.392311394,,,328225452.0,0.78,0.2,Tim,ETG,23942812.0,1.15e+38,0.11871708728927528,0.23923127,,,0.895976918,0.2045574,7.91e+38,6.5,Chandra/Rosat/Yes,1.9199999999999998e+39,7.85e+37,,7.75490731,0.775490771,3.28,,,0.04,,1.21e+43,,,,0.42609127,-0.370497364,2.261277853129053e+41,2.4547089156850337e+42,9.06e+37,3291195738.0,7.914472485951685e+44
MRK567,,,,,,,,0.0227,0.0008,0.0024,195487.0,Other,No,No,0.000106,3.54e-05,233000000000.0,Yes,No survey,,No,No,Radio 1.4GHz,330474535.0,33053556.0,,,,,,,,,,,301085582.0,,17169628934.0,ND,11.26,,,,,,,140.6,,,,,93.39,ND,91000000.0,,,,Thermal,,,,,,,5.0,2.0,,N,1.58e-06,,,,20668.22907,7.48e+38,11.383,0.045,796440344.0,0.004951222,3.976770043,,,1716963202.0,1.3,0.2,Tim,Spiral,79646567.0,3.81e+38,,0.397750433,,,0.292780965,0.205099112,3.67e+38,2.1,NA/NA/NA,5.84e+38,0.0,,9.583976269,0.958428098,3.8,,,0.04,,6.78e+42,,,,,,,,7.909999999999999e+37,10596616320.0,
NGC0383,1.4e-08,1.4e-09,19400000.0,1.65e-09,1.65e-10,1.27e+33,3320000.0,4.86,0.0,0.486,9390856.0,No class,Yes,Yes,0.063,0.000101,235000000000.0,Yes,X-ray 2-10 keV (Chandra),Chandra,Yes,Yes,Radio 1.4GHz,51166306.0,5116835.0,29897345.0,2990084.0,11930467.0,1193923.0,,,61514139.55,2.37e+41,3.56e-05,3.56e-06,9766406.0,225000000.0,1251386929.0,No,11.82,0.051,229000000000.0,0.000835,0.052,243000000000.0,0.00077,66.6,0.32,0.37,0.39,265.56,42.83,Mix,23000000.0,22000000.0,22300000.0,20400000.0,Thermal,23000000.0,3.31e+40,3.31e+39,39.46,0.04,0.001514116539141471,-2.9,0.6,LERG,Y,7.06e-06,3.47e-05,3.85e-05,1.0094110260943139e+43,939085.6,3.59e+40,10.39,0.007,141699851.0,0.001608293,2.744092345,1.60341993,0.639841035,125138701.0,0.0,0.2,Tim,ETG,14170059.0,1.91e+37,0.00013948041558571231,0.274420194,0.160360748,0.06403108,3.274368265,0.2045574,3.59e+40,9.1,Chandra/Chandra/Yes,7.86e+40,1.26e+38,8.673329918,7.599483132,0.759952211,3.05,3.18,0.129408033,0.04,0.04,2.12e+44,,,239.0,1.91e-05,-4.718966633,2.656769820680234e+38,2.8840315031266113e+39,3.5899999999999996e+39,1251386929.0,9.298694372380819e+41
NGC0404,6.71e-09,6.71e-10,19000.0,7.89e-10,7.89e-11,1.24e+30,3200.0,0.0036,0.0003,0.00047,14.0,LINER,No,Yes,0.00038,1.2e-05,237000000000.0,Yes,X-ray 2-10 keV (Chandra),Chandra,Yes,Yes,Radio 1.4GHz,1510000.0,151000.0,1490000.0,149000.0,1380000.0,138000.0,1220000.0,122000.0,43254.56516,1.66e+38,2.49e-08,2.49e-09,666.0,2686.0,1830000.0,ND,9.1,7.7e-05,230000000000.0,3.22e-05,0.000115,245000000000.0,2.43e-05,3.01,,,,0.003,0.79,Mix,66000.0,,,,Thermal,,1.5799999999999998e+37,1.58e+36,37.69,0.04,2.5713388016843295e-05,-2.8,0.7,,N,2.32e-07,4.27e-07,3.71e-07,1.7142258677895528e+41,1.827777778,5.36e+34,10.412,0.007,1510000.0,0.001151437,39.73162842,39.07289886,36.13864136,183000.0,-3.04,0.22,Me,Dwarf,151000.0,5.77e+34,2.368717304111604e-06,3.973163935,3.907290998,3.613865337,0.487791119,0.227073308,3.61e+34,1.5,Chandra/NA/NA,9.76e+35,3.0800000000000003e+34,4.714006579,39.61714554,3.96171565,1.08,2.24,1.165022122,0.04,0.04,6.73e+39,37.6,1.2302687708123712,40.0,0.002467532,-2.607737207,4.5118424840221025e+36,4.897788193684436e+37,6.99e+33,957233.0,1.5791448694077358e+40
NGC0449,5.59e-09,5.59e-10,9830000.0,5.59e-09,5.59e-10,,9830000.0,0.0759,0.0023,0.0079,145122.0,Seyfert 2,No,Yes,0.000603,2.46e-05,236000000000.0,Yes,X-ray 2-10 keV (XMM),XMM,No,Yes,Radio 1.4GHz,,,,,,,,,70857679.24,2.73e+41,4.1e-05,4.1e-06,61232898.0,2100000.0,384510428.0,Yes,10.07,0.00056,228000000000.0,2.77e-05,0.00062,243000000000.0,2.73e-05,66.25,1.58,1.04,1.2,2.52,211.21,Mix,13000000.0,2700.0,110000.0,60.0,Thermal,420000.0,3.7799999999999997e+40,3.78e+39,41.5,0.04,0.16601957715883994,0.9,2.9,,N,1.74e-06,1.77e-06,1.99e-06,1.1067971810589329e+45,15104.9249,5.55e+38,11.676,0.023,,0.000499411,,,,38451046.0,1.19,0.2,Tim,Spiral,,2.96e+38,0.015293723447872335,,,,0.273396339,0.204940804,2.59e+38,3.3,XMM/NA/NA,7.470000000000001e+38,3.05e+37,8.773880451,,,,,,,,5.24e+42,,,250.1,0.014827638,-1.828928025,2.913090180547111e+40,3.1622776601683795e+41,5.78e+37,384510428.0,1.019581563191489e+44
NGC0524,3.45e-10,3.45e-11,93300.0,3.45e-10,3.45e-11,,93300.0,0.0031,0.0004,0.00051,733.0,No class,No,Yes,0.0057,2.3e-05,238000000000.0,Yes,X-ray 2-10 keV (Chandra),Chandra,No,Yes,Radio 1.4GHz,8595165.0,859592.0,5653605.0,565475.0,2947870.0,295006.0,,,688368.7534,2.65e+39,3.98e-07,3.98e-08,1760200.0,2380000.0,62179985.0,No,11.4,0.0058,230000000000.0,3e-05,0.0057,245000000000.0,2.79e-05,23.3,-0.28,0.11,0.15,2.94,36.65,Mix,2600000.0,34000.0,120000.0,794.0,Synch,94000.0,3.59e+38,3.59e+37,37.55,0.04,1.862770293476259e-05,-1.2,0.6,,N,5.22e-07,6.21e-07,6.53e-07,1.2418468623175059e+41,120.5903226,2.8e+36,10.211,0.073,26570171.0,0.000652921,3.766218424,2.477289587,1.291693747,6218009.0,-0.56,0.2,Tim,ETG,2657041.0,5.26e+36,1.7159839943503294e-06,0.376654824,0.247779098,0.129265508,-0.273232942,0.212269004,-2.46e+36,8.85,Chandra/Rosat/No,8.81e+38,3.56e+36,8.489856295,11.64248347,1.164259017,2.33,2.57,0.249233961,0.04,0.04,,37.87,0.478630092,220.0,2.46e-06,-5.609064893,3.268540941619675e+36,3.5481338923357312e+37,4.61e+35,62179985.0,1.1439893295668862e+40
NGC0612,1.03e-07,1.03e-08,699000000.0,1.03e-07,1.03e-08,,699000000.0,5.14,0.068,0.518,38074899.0,Seyfert 2,Yes,Yes,0.025,6e-05,233000000000.0,Yes,X-ray 2-10 keV (XMM),Chandra,Yes,Yes,Radio 1.4GHz,41467898.0,4309173.0,31392709.0,3350840.0,22617952.0,2547317.0,,,2070928338.0,7.96e+42,0.001194,0.0001194,13616082.0,354000000.0,3935539851.0,No,11.76,0.024,224000000000.0,0.000119,0.023,239000000000.0,0.000128,130.4,-0.65,0.27,0.27,403.64,122.2,Radio,280000000.0,280000000.0,282000000.0,279000000.0,Synch,280000000.0,7.76e+41,7.76e+40,40.03,0.04,0.005625476352497449,-1.2,0.7,LERG,Y,8.71e-07,1.47e-06,1.63e-06,3.750317568331632e+43,3837120.172,1.46e+41,9.89,0.099,158852485.0,0.001319384,0.580122828,0.439174116,0.316418022,393553992.0,0.85,0.2,Tim,ETG,15928409.0,1.35e+38,0.0005182188815920651,0.06028397,0.046877191,0.035636157,3.032301844,0.204629324,1.46e+41,38.4,XMM/Rosat/No,1.19e+41,2.84e+38,,2.222296238,0.22283343,3.1,3.46,0.357579248,0.04,0.05,6.04e+44,39.53,3.162277660168379,,0.00037468,-3.426339488,9.870835839848855e+38,1.0715193052376092e+40,1.47e+40,61260493889.0,3.4547925439470995e+42
NGC0708,8.48e-07,8.48e-08,284000000.0,2.53e-08,2.53e-09,1.49e+34,39000000.0,0.0657,0.0,0.00657,97280.0,No class,Yes,Yes,0.00132,1.65e-05,236000000000.0,Yes,X-ray 2-10 keV (Chandra),Chandra,Yes,Yes,Radio 1.4GHz,45431204.0,4544295.0,29279439.0,2929766.0,13566794.0,1360608.0,2299000.0,252048.0,4301440.51,1.65e+40,2.48e-06,2.48e-07,2299117.0,3560000.0,677009461.0,No,11.75,0.00171,228000000000.0,1.82e-05,0.00153,243000000000.0,1.71e-05,58.3,-1.69,0.23,0.66,4.27,24.1,Radio,890000000.0,22000000.0,22000000.0,22000000.0,Synch,23000000.0,2.45e+39,2.45e+38,39.1,0.04,0.00066093584119194,-4.9,0.4,LERG,Y,2.32e-06,1.12e-06,1.05e-06,4.4062389412795994e+42,9728.0,3.72e+38,11.885,0.06,132091835.0,0.001135481,3.179656863,2.0492208,0.949518085,67701536.0,-0.29,0.2,Tim,ETG,13209588.0,9.8e+36,6.0885409690601496e-05,0.318047903,0.205049628,0.095226766,1.579686646,0.2045574,3.62e+38,1.3,Rosat/NA/NA,1.27e+39,1.5799999999999998e+37,8.588312587,9.244894981,0.924517779,3.02,3.24,0.21572124,0.04,0.04,6.73e+42,,,230.0,0.000175,-3.756961951,1.1597220893447906e+38,1.2589254117941713e+39,3.72e+37,247467312.0,4.059027312706766e+41
NGC1194,6.97e-08,6.97e-09,91000000.0,6.97e-08,6.97e-09,,91000000.0,0.0025,0.0,0.00025,3082.0,Seyfert 2,No,Yes,0.00158,2.86e-05,229000000000.0,Yes,X-ray 2-10 keV (XMM),XMM,No,Yes,Radio 1.4GHz,13418511.0,1342538.0,9005715.0,901594.0,,,,,826369478.9,3.18e+42,0.000477,4.77e-05,7692559.0,3960000.0,36087137.0,No,10.64,0.00154,228000000000.0,2.56e-05,0.00158,230000000000.0,2.33e-05,53.2,2.93,2.54,8.68,4.21,67.89,Mix,2700000.0,3200.0,58900.0,56.0,Thermal,2500000.0,3.5e+41,3.5e+40,40.03,0.04,0.005625476352497449,-0.7,0.9,,N,5.16e-06,7.22e-07,6.87e-07,3.750317568331632e+43,308.2,1.18e+37,11.133,0.032,30736312.0,7.27e-05,1.127831414,0.756934062,,3608969.0,-1.74,0.87,Me,Spiral,3073931.0,7.96e+37,0.0005182188815920651,0.112840848,0.075779362,,1.530495718,0.870649111,1.14e+37,23.9,XMM/NA/NA,1.23e+39,2.22e+37,7.918790122,2.583399713,0.258365169,2.39,,,0.04,,5.029999999999999e+41,,,170.0,0.004203981,-2.376339255,9.870835839848855e+38,1.0715193052376092e+40,1.18e+36,36087137.0,3.4547925439470995e+42
NGC1387,6.49e-09,6.49e-10,803000.0,7.64e-10,7.64e-11,5.249999999999999e+31,140000.0,0.004,0.0005,0.00064,690.0,No class,No,Yes,0.00104,5.35e-05,238000000000.0,Yes,X-ray 2-10 keV (Chandra),Chandra,Yes,Yes,Radio 1.4GHz,11324291.0,1132457.0,6289037.0,628953.0,2690895.0,269205.0,,,3767386.663,1.45e+40,2.18e-06,2.18e-07,1653472.0,316000.0,369167687.0,No,10.67,0.001218,231000000000.0,5.51e-05,0.001216,246000000000.0,6.26e-05,19.9,-0.03,1.09,1.09,0.39,40.27,Mix,9500000.0,2100.0,148000.0,1310.0,Synch,120000.0,2.14e+39,2.14e+38,,,,-2.8,0.5,,N,4.53e-06,3.5e-06,5.04e-06,,110.4,2.64e+36,10.06,0.111,46536219.0,0.005314222,6.80249095,3.777818978,1.616418213,36916770.0,-0.68,0.2,Tim,ETG,4653629.0,3.99e+36,,0.68026556,0.377811545,0.161711099,-0.179487826,0.211617777,-1.35e+36,25.3,Chandra/Chandra/No,1.17e+38,6.03e+36,6.435048811,27.95426369,2.795430375,2.57,2.53,-0.03377436,0.04,0.04,,,,87.0,,,,,4.22e+35,369167687.0,
NGC1574,,,,,,,,,,,,No class,No,Yes,0.00332,3.3e-05,238000000000.0,Yes,No survey,,No,No,Radio 5GHz (Parkes),5519672.0,551986.0,4532352.0,453258.0,2509697.0,251011.0,909000.0,91013.0,,,,,374402.0,949000.0,11800639.0,No,10.79,0.0035,232000000000.0,7.08e-05,0.0036,246000000000.0,6.18e-05,19.3,0.46,0.45,0.49,1.18,15.42,Mix,240000.0,3000.0,77600.0,51.0,Thermal,210000.0,,,,,,-2.9,0.5,,N,2.89e-06,1.62e-06,1.61e-06,,,0.0,9.935,0.098,6239787.0,0.000180598,3.525021672,2.894490361,1.602764577,1180073.0,-0.91,0.2,Tim,ETG,623995.0,2.35e+36,,0.352514022,0.289463473,0.160302529,,,,7.6,NA/NA/NA,3.52e+38,3.5e+36,8.045390399,3.984907866,0.398501273,1.7,2.5,0.808571509,0.04,0.04,,,,180.0,,,,,,11800639.0,
NGC2110,1.72e-06,1.72e-07,988000000.0,1.72e-06,1.72e-07,,988000000.0,0.3,0.01,0.032,165631.0,No class,No,Yes,0.0214,0.000453,238000000000.0,Yes,X-ray 2-10 keV (XMM),Chandra,Yes,Yes,Radio 1.4GHz,5870642.0,590246.0,,,,,,,19905123216.0,7.66e+43,0.01149,0.001149,5520628.0,20800000.0,,No,10.41,0.0234,231000000000.0,0.000339,0.0227,245000000000.0,0.000337,35.6,-0.5,0.35,0.41,25.81,,Radio,19000000.0,17000000.0,18600000.0,15800000.0,Synch,19000000.0,5.13e+42,5.13e+41,40.41,0.04,0.01349457785953643,-3.0,0.5,,N,1.42e-05,7.87e-06,8.73e-06,8.996385239690953e+43,17667.30667,6.34e+38,10.149,0.058,22435830.0,,1.208066642,,,,-1.41,,Me,Spiral,2244418.0,4.91e+38,0.001243120512420496,0.12146142,,,,,,8.1,XMM/Rosat/No,7.719999999999999e+39,1.64e+38,8.772994667,4.616867602,0.461858489,2.25,,,0.04,,,39.71,5.011872336272674,250.0,0.001699959,-2.769561553,2.3678485950866586e+39,2.5703957827688437e+40,6.76e+37,78555004.0,8.287470082803306e+42
NGC3169,6.47e-08,6.47e-09,7070000.0,7.65e-09,7.65e-10,4.64e+32,1200000.0,0.0932,0.0,0.00932,14198.0,Seyfert,Yes,Yes,0.00342,0.000107,239000000000.0,Yes,X-ray 2-10 keV (Chandra),Chandra,Yes,Yes,Radio 1.4GHz,63480784.0,6348084.0,39669087.0,3966917.0,,,,,796826628.7,3.0600000000000003e+42,0.000459,4.59e-05,22675888.0,903000.0,359344956.0,No,10.84,0.0032,232000000000.0,0.000151,0.00308,247000000000.0,0.000134,18.7,-0.61,1.02,1.05,1.14,53.98,Radio,15000000.0,4100000.0,4270000.0,3890000.0,Synch,4100000.0,3.390000000000001e+41,3.3899999999999997e+40,39.46,0.04,0.001514116539141471,1.2,0.5,HERG,N,2.81e-06,3.54e-06,3.58e-06,1.0094110260943139e+43,1419.8,5.43e+37,9.993,0.092,184987848.0,0.005858015,43.1839323,26.98560238,,35934497.0,0.29,0.2,Tim,Spiral,18498787.0,3.72e+37,0.00013948041558571231,4.318396777,2.698565913,,0.163890255,0.2045574,1.71e+37,9.2,Chandra/NA/NA,3.4200000000000004e+38,1.07e+37,7.852668739,125.8412743,12.58412864,3.17,,,0.04,,6.83e+41,39.03,2.691534803926914,165.0,0.001125336,-2.948717788,2.656769820680234e+38,2.8840315031266113e+39,5.43e+36,359344956.0,9.298694372380819e+41
NGC3351,1.06e-07,1.1e-08,1040000.0,3.13e-09,3.25e-10,5.429999999999999e+31,142000.0,0.0425,0.0,0.00425,1851.0,No class,Yes,No,0.000444,0.000148,340000000000.0,No,0.2-2keV (ROSAT),ROSAT,No,No,Radio 1.4GHz,24297622.0,2429768.0,14288951.0,1428905.0,8097212.0,809738.0,,,1017838.46,3.91e+39,5.86e-07,5.86e-08,728748.0,,,ND,10.28,,,,,,,10.0,,,,,,ND,32000000.0,,,,Synch,,5.46e+38,5.669999999999999e+37,37.28,0.15,1.0003668769307074e-05,3.1,0.4,LERG,Y,5.6e-06,,,6.669112512871383e+40,185.1,7.08e+36,9.026,0.015,45768899.0,,55.73559284,32.77699947,18.57395291,,-1.29,,Me,Spiral,4576893.0,,3.4557673763571284e-06,5.573572485,3.277722395,1.857434903,,,,33.4,Rosat/Einstein/NA,1.81e+37,0.0,5.856482117,104.9879169,10.4987987,2.56,3.01,0.451885027,0.04,0.04,,38.08,0.1584893192461123,67.0,0.00073667,-3.132727016,6.582414050204054e+36,1.9054607179632521e+37,7.08e+35,101530234.0,2.303844917571419e+40
