NGC0383 Frequency (Hz),NGC 0383 Flux Density (Jy),NGC 0383 Uncertainty (Jy),NGC 0383 emission type,NGC 0383 Date,NGC 0612 Frequency (Hz),NGC 0612 Flux Density (Jy),NGC 0612 Uncertainty (Jy),NGC 0612 Emission type,NGC 0612 Date,NGC 0708 Frequency (Hz),NGC 0708 Flux Density (Jy),NGC 0708 Uncertainty (Jy) ,NGC 0708 Emission type,NGC 0708 Date,NGC 3169 Frequency (Hz),NGC 3169 Flux Density (Jy),NGC 3169 Uncertainty (Jy),NGC 3169 Emission type ,NGC 3169 Date,NGC 3368 Frequency (Hz),NGC 3368 Flux Density (Jy),NGC 3368 Uncertainty (Jy),NGC 3862 Frequency (Hz),NGC 3862 Flux Density (Jy),NGC 3862 Uncertainty (Jy),NGC 3862 Emission type,NGC 3862 Date,NGC 4061 Frequency (Hz),NGC 4061 Flux Density (Jy),NGC 4061 Uncertainty (Jy),NGC 4061 Emission type,NGC 4061 Date,NGC 4261 Frequency (Hz),NGC 4261 Flux Density (Jy),NGC 4261 Uncertainty (Jy),NGC 4261 Emission type,NGC 4261 Date,NGC 4501 Frequency (Hz),NGC 4501 Flux Density (Jy),NGC 4501 Uncertainty (Jy),NGC 4501 Emission type ,NGC 4501 Date,NGC 3351 Frequency (Hz),NGC 3351 Flux Density (Jy),NGC 3351 Uncertainty (Jy),NGC 3351 Emission type,NGC 5806 Frequency (Hz),NGC 5806 Flux Density (Jy),NGC 5806 Uncertainty (Jy),NGC 5806 Emission type,FRL1146 Frequency (Hz),FRL1146 Flux Density (Jy),FRL1146 Uncertainty (Jy),FRL1146 Emission type,FRL1146 Date,NGC 7052 Frequency (Hz),NGC 7052 Flux Density (Jy),NGC 7052 Uncertainty (Jy),NGC 7052 Emission type,NGC 7052 Date,FRL 49 Frequency (Hz),FRL 49 Flux Density (Jy),FRL 49 Uncertainty (Jy),FRL 49 Emission type,FRL 49 Date,NGC 0449 Frequency (Hz),NGC 0449 Flux Density (Jy),NGC 0449 Uncertainty (Jy),NGC 0449 Emission type,NGC 0449 Date,NGC 0524 Frequency (Hz),NGC 0524 Flux Density (Jy),NGC 0524 Uncertainty (Jy),NGC 0524 Emission type,NGC 0524 Date,NGC 1194 Frequency (Hz),NGC 1194 Flux Density (Jy),NGC 1194 Uncertainty (Jy),NGC 1194 Emission type,NGC 1194 Date,NGC 1387 Frequency (Hz),NGC 1387 Flux Density (Jy),NGC 1387 Uncertainty (Jy),NGC 1387 Emission type,NGC 1387 Date,NGC 3607 Frequency (Hz),NGC 3607 Flux Density (Jy),NGC 3607 Uncertainty (Jy),NGC 3607 Emission type,NGC 3607 Date,NGC 4429 Frequency (Hz),NGC 4429 Flux Density (Jy),NGC 4429 Uncertainty (Jy),NGC 4429 Emission type,NGC 4429 Date,NGC 4435 Frequency (Hz),NGC 4435 Flux Density (Jy),NGC 4435 Uncertainty (Jy),NGC 4435 Emission type,NGC 4435 Date,NGC 4438 Frequency (Hz),NGC 4438 Flux Density (Jy),NGC 4438 Uncertainty (Jy),NGC 4438 Emission type,NGC 4438 Date,NGC 4697 Frequency (Hz),NGC 4697 Flux Density (Jy),NGC 4697 Uncertainty (Jy),NGC 4697 Emission type,NGC 4697 Date,NGC 4826 Frequency (Hz),NGC 4826 Flux Density (Jy),NGC 4826 Uncertainty (Jy),NGC 4826 Emission type,NGC 5765b Frequency (Hz),NGC 5765b Flux Density (Jy),NGC 5765b Uncertainty (Jy),NGC 5765b Emission type,NGC 5995 Frequency (Hz),NGC 5995 Flux Density (Jy),NGC 5995 Uncertainty (Jy),NGC 5995 Emission type,NGC 5995 Date,NGC 6958 Frequency (Hz),NGC 6958 Flux Density (Jy),NGC 6958 Uncertainty (Jy),NGC 6958 Emission type,NGC 6958 Date,NGC 7172 Frequency (Hz),NGC 7172 Flux Density (Jy),NGC 7172 Uncertainty (Jy),NGC 7172 Emission type,NGC 7172 Date,MRK 567 Frequency (Hz),MRK 567 Flux Density (Jy),MRK 567 Uncertainty (Jy),MRK 567 Emission type,NGC 0404 Frequency (Hz),NGC 0404 Flux Density (Jy),NGC 0404 Uncertainty (Jy),NGC 0404 Emission type,NGC 5064 Frequency (Hz),NGC 5064 Flux Density (Jy),NGC 5064 Uncertainty (Jy),NGC 5064 Emission type,NGC 5064 Date,NGC 6753 Frequency (Hz),NGC 6753 Flux Density (Jy),NGC 6753 Uncertainty (Jy),NGC 6753 Emission type,PGC043387 Frequency (Hz),PGC043387 Flux Density (Jy),PGC043387 Uncertainty (Jy),PGC043387 Emission type,NGC 1574 Frequency (Hz),NGC 1574 Flux Density (Jy),NGC 1574 Uncertainty (Jy),NGC 1574 Date,NGC 2210 Frequency,NGC 2210 Flux Density (Jy),NGC 2210 Uncertainty (Jy),NGC 2210 Emission type,NGC 2110 Date
10000000,144,48,Radio,1980,80000000,58,8,Radio,1981,73800000,1.06,0.14,Radio,2007,1400000000,0.0892,0.0034,Radio,1998,750000000,0.3,0,10000000,756,150,Radio,1980,1400000000,0.399,0.007,Radio,2014,20000000,290,60.9,Radio,1969,750000000,0.4,0,Radio,1964,57500000,1.2,0.4,Radio,1400000000,0.0153,0,Radio,1810000000000,1.41,0.09,Dust ,2014,408000000,0.321,0.07,Radio,1972,843000000,0.27,0.008,Radio,2014,1400000000,0.0759,0.0023,Radio,1998,1400000000,0.0031,0.0004,Radio,2011,1400000000,0.0025,0,Radio,2017,843000000,0.0113,0.0015,Radio,2008,1400000000,0.0069,0.0004,Radio,2011,1400000000,0.0001,0.0005,Radio,2011,2380000000,0.004,0.004,Radio,1978,617000000,0.311,0,Radio,2007,1400000000,0.0006,0.0005,Radio,2011,151000000,0.31,0.0637,Radio,1400000000,0.0241,0.0012,,1400000000,0.0307,0.0013,Radio,1998,843000000,0.015,0.0012,Radio,2008,843000000,0.0456,0.0017,Radio,2008,1400000000,0.0227,0.0008,Radio,1400000000,0.0037,0.0005,Radio,843000000,0.0152,0.0016,Radio,2008,843000000,0.171,0.0074,Radio,1200000000000,0.249,0.00655,,3000000000000,0.66,0.072,1994,73800000,1.65,0.19,Radio,2007
22200000,86.3,25,Radio,1980,160000000,24,3.1,Radio,1981,74000000,0.84,0.062,Radio,2015,2380000000,0.055,0.004,Radio,1978,1400000000,0.0316,0.0033,12600000,1440,590,Radio,1969,2380000000,0.125,0.006,Radio,1978,22300000,202,14,Radio,1986,1400000000,0.277,0.09,Radio,2002,750000000,0.7,0,Radio,2380000000,0.002,0.004,Radio,4280000000000,1.22,0.068,Dust,2014,1400000000,0.16,0.01,Radio,2011,1400000000,0.074,0,Radio,2014,2700000000,0.051,0.003,Radio,1976,2380000000,0.01,0.005,Radio,1978,5000000000,0.0015,0,Radio,2006,1400000000,0.004,0.0005,Radio,2011,2380000000,0.006,0.004,Radio,1978,2380000000,0,0,Dust,NaN,600000000000,0.181,0.041,Dust,NaN,1400000000,0.0642,0.0027,Radio,1998,8500000000,9.2E-05,1.7E-05,Radio,2008,1360000000,0.072,0.004,Radio,,,,,1810000000000,5.4,0.273,Dust,2014,1400000000,0.015,0.001,Radio,2011,1340000000,0.0386,0,Radio,2007,4760000000,0.017,0.006,Radio,2380000000,0,0,Dust,1760000000000,10.6,1.6,Dust,2004,4850000000,0.035,0.008,Radio,,,,,5000000000000,0.36,0.022,1994,365000000,0.697,0.041,Radio,1996
22300000,86,13,Radio,1986,408000000,11.4,2.71,Radio,1969,152000000,0.78,0.072,Radio,1993,4850000000,0.042,0.011,Radio,1995,2380000000,0.024,0.004,14700000,530,117,Radio,1969,,,,,,25000000,220,59,Radio,1969,NaN,NaN,NaN,NaN,,1400000000,0.0289,0,Radio,1760000000000,14.1,2.11,Dust,5000000000000,1.09,0.0978,Dust,1988,2380000000,0.158,0.008,Radio,1978,4850000000,0.066,0.008,Radio,1994,4760000000,0.022,0.004,Radio,1995,4860000000,0.0015,0,Radio,2012,1810000000000,0.473,0.025,Dust,2014,5000000000,0.0065,0.0017,Radio,1977,15000000000,0.0014,0,Radio,2005,1760000000000,6.3,0.6,Dust,2008,857000000000,0.679,0.12,Dust,NaN,1490000000,0.087,0,Radio,2007,600000000000,0.0194,0.0178,Dust,2014,1370000000,0.11,0.01,Radio,,,,,3000000000000,6.53,0.523,Dust,1990,5000000000,0.0094,0.0007,Radio,1977,1400000000,0.0376,0.0015,Radio,1998,3000000000000,4.93,0.394,Dust,1920000000000,3.5,0.366,Dust,3000000000000,9.56,0.574,Dust,1990,5010000000,0.035,0.01,Radio,,,,,,,,,1400000000,0.299,0.009,Radio,2014
26300000,65,7,Radio,1980,843000000,12.3,0.226,Radio,2014,235000000,0.392,0.02,Radio,2009,4900000000,0.0066,0,Radio,2005,353000000000,0.513,0.023,16700000,380,65,Radio,1969,,,,,,26300000,162,21,Radio,1975,2380000000,0.157,0.007,Radio,1978,2380000000,0.052,0.004,Radio,3000000000000,7.88,0.473,Dust,,,,,,4830000000,0.082,0,Radio,1990,1760000000000,2.22,0.666,Dust,2004,4850000000,0.032,0.006,Radio,1991,4900000000,0.0015,0,Radio,2005,4280000000000,0.633,0.034,Dust,2014,600000000000,0.25,0.12,Dust,NaN,1760000000000,2.53,0.759,Dust,2004,1810000000000,5.51,0.593,Dust,2014,1200000000000,1.86,0.16,Dust,NaN,2380000000,0.109,0.006,Radio,1978,857000000000,0.0656,0.0102,Dust,2014,1400000000,0.126,0.002,Radio,,,,,4280000000000,4.03,0.202,Dust,2014,1900000000000,2.7,0.4,Dust,2008,1430000000,0.0375,0,Dust,1996,5000000000000,3.03,0.212,Dust,3000000000000,4.5,0.901,Dust,5000000000000,3.31,0.166,Dust,1990,231000000000,0.124,0.0108,Dust,,,,,,,,,1460000000,0.27,0.015,Radio,1984
38000000,58.8,5.3,Radio,1981,1400000000,5.14,0.068,Radio,2014,325000000,0.263,0.01,Radio,2015,5000000000,0.00296,0,Radio,2006,666000000000,3.44,0.12,20000000,209,21,Radio,1981,,,,,,38000000,122,18.3,Radio,1969,4800000000,0.115,0,Radio,2009,600000000000,5.32,0.39,Dust,5000000000000,2.69,0.188,Dust,,,,,,4850000000,0.125,0.017,Radio,1991,1810000000000,2.56,0.147,Dust,2014,8100000000,0.021,0.003,Radio,1976,5000000000,0.0015,0,Radio,2004,5000000000000,0.77,0.0539,Dust,1990,857000000000,1,0.17,Dust,NaN,1920000000000,2.22,0.186,Dust,2009,1900000000000,4.2,0.6,Dust,2008,1760000000000,6.84,2.05,Dust,2004,4780000000,0.1,0,Radio,1986,1200000000000,0.22,0.0331,Dust,2014,2380000000,0.067,0.004,Radio,,,,,5000000000000,3.65,0.255,Dust,1990,2070000000000,1.8,0.2,Dust,2008,231000000000,0.048,0.0077,Dust,1995,,,,,4200000000000,2.92,0.202,Dust,,,,,,3000000000000,27.1,0.196,Dust,,,,,,,,,4850000000,0.165,0.014,Radio,1995
80000000,21,3,Radio,1981,1410000000,5.6,0.96,Radio,1969,328000000,0.288,0.004,Radio,2009,8400000000,0.0089,0.0005,Radio,2005,1920000000000,47.7,7.5,22200000,293,33.3,Radio,1980,,,,,,60000000,89,5,Radio,1968,4850000000,0.102,0.0081,Radio,2007,857000000000,13.7,1,Dust,,,,,,,,,,8400000000,0.044,0,Radio,2007,3000000000000,3.91,0.351,Dust,1990,31600000000,0,0,Dust,NaN,15000000000,0.0015,0,Radio,2005,,,,,,1200000000000,2.59,0.305,Dust,NaN,4200000000000,1.76,0.098,Dust,2009,2460000000000,5.2,0.5,Dust,2008,1810000000000,4.48,0.302,Dust,2014,4850000000,0.0868,0.0065,Radio,2007,1470000000000,0.75,0.2,Dust,2004,4850000000,0.056,0.009,Radio,,,,,,,,,,2460000000000,1.7,0.2,Dust,2008,1470000000000,7.6,0.43,Dust,2002,,,,,5000000000000,2.26,0.058,Dust,,,,,,5000000000000,9.79,0.048,Dust,,,,,,,,,4880000000,0.175,0.0085,Radio,1984
86000000,34,1.6,Radio,1980,2700000000,5.6,0.18,Radio,1973,365000000,0.333,0.037,Radio,1996,15000000000,0.0068,0,Radio,2005,3000000000000,31.6,0.148,22300000,293,23,Radio,1986,,,,,,80000000,100,15,Radio,1981,5000000000,0.074,0.017,Radio,1975,1200000000000,32.4,2.3,Dust,,,,,,,,,,99900000000,0.0855,0.0121,Radio,2010,4280000000000,3.32,0.169,Dust,2014,1900000000000,4.4,0.6,Dust,2008,3000000000000,2.05,0.129,Dust,1994,,,,,,1810000000000,6.18,0.748,Dust,2014,,,,,,2930000000000,4.85,1.02,Dust,2014,1920000000000,3.02,0.327,Dust,2009,4860000000,0.012,0,Radio,2007,1500000000000,0.62,0.12,Dust,2004,5000000000,0.058,0.012,Radio,,,,,,,,,,3000000000000,2.27,0.06,Dust,1994,1620000000000,12.6,0.4,Dust,2002,,,,,,,,,,,,,,,,,,,,,,,,,,6700000000,0.13,0.0195,Radio,2008
160000000,21,3.1,Radio,1981,8400000000,0.25,0,Radio,1990,408000000,0.364,0.066,Radio,1973,95700000000,0.0081,0.004,Radio,2005,4200000000000,14.5,1.8,25000000,212,21,Radio,1981,,,,,,160000000,55.6,7.2,Radio,1981,5010000000,0.098,0.01,Radio,1970,1870000000000,53.91,5.13,Dust,,,,,,,,,,300000000000,0.0188,0.00149,Radio,2010,5000000000000,3.23,0.161,Dust,2014,2070000000000,2.9,0.3,Dust,2008,5000000000000,0.76,0.034,Dust,1994,,,,,,2930000000000,5.92,0.717,Dust,2014,,,,,,3000000000000,8.05,1.26,Dust,NaN,2930000000000,4.72,0.304,Dust,2014,5000000000,0.08,0.016,Radio,1975,1720000000000,0.85,0.25,Dust,2004,353000000000,1.23,0.31,Dust,,,,,,,,,,4760000000000,1.8,0.2,Dust,2008,1720000000000,19,3.2,Dust,2002,,,,,,,,,,,,,,,,,,,,,,,,,,8400000000,0.102,0.0051,Radio,2009
